Employee_ID,Name,Department,Title,Permissions,Last_Login_Days_Ago
EMP001,Employee_1,HR,HR Specialist,"Approve_Invoice, Create_Vendor, Access_Payroll",18
EMP002,Employee_2,HR,HR Specialist,"Delete_Database, Read_Email, Access_Payroll",12
EMP003,Employee_3,Finance,Accountant,"Access_Payroll, Read_Email, Create_Vendor",92
EMP004,Employee_4,IT,Helpdesk Tech,Delete_Database,76
EMP005,Employee_5,Engineering,Software Engineer,Manage_Users,55
EMP006,Employee_6,Engineering,DevOps Engineer,Create_Vendor,98
EMP007,Employee_7,Engineering,Software Engineer,Delete_Database,13
EMP008,Employee_8,Engineering,DevOps Engineer,"Approve_Invoice, Read_Email, Delete_Database",69
EMP009,Employee_9,HR,HR Manager,Access_Payroll,38
EMP010,Employee_10,IT,Helpdesk Tech,"Create_Vendor, Read_Email, Access_Payroll",85
EMP011,Employee_11,Finance,Financial Analyst,Create_Vendor,111
EMP012,Employee_12,HR,HR Manager,"Delete_Database, Approve_Invoice",21
EMP013,Employee_13,Engineering,DevOps Engineer,Manage_Users,35
EMP014,Employee_14,HR,HR Specialist,"Manage_Users, Create_Vendor, Access_Payroll",60
EMP015,Employee_15,Sales,Account Executive,"Access_Payroll, Delete_Database",88
EMP016,Employee_16,Engineering,Software Engineer,Read_Email,104
EMP017,Employee_17,Engineering,DevOps Engineer,"Read_Email, Create_Vendor",117
EMP018,Employee_18,IT,Helpdesk Tech,Manage_Users,64
EMP019,Employee_19,Sales,Account Executive,Approve_Invoice,18
EMP020,Employee_20,Finance,Financial Analyst,"Access_Payroll, Delete_Database, Manage_Users",47
EMP021,Employee_21,Finance,Accountant,"Delete_Database, Read_Email, Access_Payroll",111
EMP022,Employee_22,HR,HR Specialist,"Create_Vendor, Delete_Database, Read_Email",50
EMP023,Employee_23,Sales,Account Executive,"Approve_Invoice, Access_Payroll, Read_Email",88
EMP024,Employee_24,HR,HR Manager,"Approve_Invoice, Read_Email, Manage_Users",56
EMP025,Employee_25,Finance,Financial Analyst,Manage_Users,113
EMP026,Employee_26,Engineering,Software Engineer,"Read_Email, Approve_Invoice, Create_Vendor",20
EMP027,Employee_27,Engineering,Software Engineer,"Access_Payroll, Read_Email, Approve_Invoice",63
EMP028,Employee_28,HR,HR Specialist,"Approve_Invoice, Create_Vendor",8
EMP029,Employee_29,Finance,Accountant,Manage_Users,63
EMP030,Employee_30,HR,HR Specialist,Manage_Users,61
EMP031,Employee_31,IT,SysAdmin,"Access_Payroll, Manage_Users",55
EMP032,Employee_32,Finance,Accountant,"Approve_Invoice, Delete_Database, Manage_Users",57
EMP033,Employee_33,IT,Helpdesk Tech,Create_Vendor,29
EMP034,Employee_34,HR,HR Manager,Access_Payroll,71
EMP035,Employee_35,Finance,Accountant,Read_Email,91
EMP036,Employee_36,HR,HR Specialist,Read_Email,111
EMP037,Employee_37,Engineering,Software Engineer,"Create_Vendor, Approve_Invoice, Delete_Database",28
EMP038,Employee_38,IT,SysAdmin,"Access_Payroll, Manage_Users, Delete_Database",32
EMP039,Employee_39,Sales,Account Executive,Read_Email,13
EMP040,Employee_40,Sales,Account Executive,"Delete_Database, Manage_Users",111
EMP041,Employee_41,HR,HR Specialist,Delete_Database,94
EMP042,Employee_42,Engineering,Software Engineer,"Delete_Database, Manage_Users, Approve_Invoice",25
EMP043,Employee_43,IT,Helpdesk Tech,Delete_Database,24
EMP044,Employee_44,Engineering,DevOps Engineer,Read_Email,57
EMP045,Employee_45,IT,SysAdmin,Manage_Users,70
EMP046,Employee_46,HR,HR Specialist,Create_Vendor,53
EMP047,Employee_47,Sales,Account Executive,Delete_Database,116
EMP048,Employee_48,HR,HR Specialist,"Read_Email, Delete_Database",34
EMP049,Employee_49,Sales,Account Executive,"Manage_Users, Access_Payroll",85
EMP050,Employee_50,Sales,Sales Rep,Approve_Invoice,28
EMP051,Employee_51,HR,HR Specialist,"Approve_Invoice, Read_Email, Access_Payroll",75
EMP052,Employee_52,Sales,Sales Rep,Access_Payroll,11
EMP053,Employee_53,Finance,Accountant,"Read_Email, Create_Vendor, Delete_Database",16
EMP054,Employee_54,IT,SysAdmin,"Access_Payroll, Read_Email, Manage_Users",54
